t,stimulus,Vr,Vh,Ve,G,K,Vk,reakcja,Vp,swiadomosc,myslenie,decyzja
27.6,2.0,2.0033616488288803,-0.09153668375982732,0.1510899142668321,0.10000189965351935,0.18886239283354012,1.8885880517060107,0.0,2.0,0.3950126227940083,-0.1326399531813737,1.0
27.700000000000003,2.0,1.9175068760519607,-0.09203676603524169,0.15001645508287437,0.10000190468656352,0.18752056885359294,1.8751699724254216,0.0,2.0,0.39229992442955947,-0.13436583185361106,0.0
27.8,2.0,1.900690182267343,-0.09257724809518415,0.15809641198849228,0.10000189102602808,0.19762051498561534,1.976167780009075,0.0,2.0,0.4135361934157521,-0.1361953481980632,0.0
27.900000000000002,2.0,2.069036387206691,-0.09306686482542358,0.14792334604788543,0.10000199389427716,0.18490418255985677,1.8490049583945178,0.0,2.0,0.3870168176836672,-0.13791619345445857,0.0
28.0,2.0,1.9345092750828963,-0.09359905211574067,0.15643745806341958,0.10000186439355009,0.19554682257927447,1.9554317688489697,0.0,2.0,0.409396642396214,-0.13974649317822507,0.0
28.1,2.0,1.974303942740404,-0.09410369050145018,0.15092767714190128,0.10000197276568351,0.1886595964273766,1.886558746890208,0.0,2.0,0.39507275712708356,-0.1415218496054581,0.0
28.200000000000003,2.0,1.9673819264052013,-0.0946359013074273,0.15644216119542376,0.10000190262047169,0.19555270149427967,1.9554898093933613,0.0,2.0,0.4096117091475728,-0.14337248022135946,0.0
28.3,2.0,2.0239234714243644,-0.09514642686246978,0.15210511100849608,0.10000197282481672,0.19013138876062008,1.9012763787539662,0.0,2.0,0.39835309979621236,-0.14518151244885666,0.0
28.400000000000002,2.0,1.9929024023964936,-0.09566517982289824,0.15375059208569178,0.10000191760586292,0.19218824010711472,1.921845547648249,0.0,2.0,0.4027622027639229,-0.147020084703826,0.0
28.5,2.0,1.9418480274667558,-0.09616444635409956,0.14985330624026244,0.10000193855297976,0.18731663280032804,1.873130016385533,0.0,2.0,0.39264646588681373,-0.14882140473244176,0.0
28.6,2.0,1.9819578910129891,-0.09663561761939672,0.14423425305943272,0.10000188894937335,0.1802928163242909,1.8028941074859632,0.0,2.0,0.37800834030642005,-0.1505636754982256,0.0
28.700000000000003,2.0,2.0051383716258346,-0.09715908255113834,0.15469298634832299,0.10000181747599855,0.19336623293540373,1.9336271861440275,0.0,2.0,0.40551975165918097,-0.15244240407706297,0.0
28.8,2.0,1.884489971623026,-0.09768052923224466,0.15428933622126315,0.10000195055305952,0.1928616702765789,1.928579084807445,0.0,2.0,0.4045621705743887,-0.15432628707918605,0.0
28.900000000000002,2.0,2.109978590328073,-0.0981742959258343,0.14875333871792967,0.10000194541118744,0.18594167339741208,1.8593805613766627,0.0,2.0,0.3901380396638865,-0.1561517563660923,0.0
29.0,2.0,1.9346016144434757,-0.09866537354616027,0.14821552406519348,0.10000187495368194,0.18526940508149184,1.852659314310891,0.0,2.0,0.38881848522202395,-0.15797972387199632,0.0
29.1,2.0,1.9618623011770577,-0.09915404909230362,0.1477351092286682,0.10000186811277213,0.18466888653583524,1.846654367772251,0.0,2.0,0.3876484409130657,-0.15981079065613585,0.0
29.200000000000003,2.0,1.9913689816237063,-0.09967506404769222,0.15420299107771976,0.10000186200130814,0.1927537388471497,1.927501498368383,0.0,2.0,0.40472021895932114,-0.16173206478263802,0.0
29.3,2.0,1.9528883117752491,-0.10015505911558413,0.1459990135783831,0.1000019443136183,0.18249876697297887,1.824952186935891,0.0,2.0,0.38327570874065764,-0.16355988226210802,0.0
29.400000000000002,2.0,2.054612618376228,-0.10067965573987389,0.15491932485795226,0.10000183991725588,0.19364915607244032,1.9364559315375665,0.0,2.0,0.40679484251257103,-0.16550953529887705,0.0
29.5,2.0,2.0625994356663666,-0.10120127991617713,0.15432483526064691,0.10000195343446472,0.19290604407580864,1.9290227585626885,0.0,2.0,0.40533442671565556,-0.16746176915528088,0.0
29.6,2.0,1.9373582416557256,-0.10171215886911683,0.152175790587942,0.10000194586309213,0.1902197382349275,1.9021603689127031,0.0,2.0,0.3997871367052478,-0.16939653517882017,0.0
